UF,anomes,ibge,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
AM,201612,8073418,583440,2060697,522816,1958661,95467,367249.0,335334.0,1286515.0,430801.0,1653764.0
AM,201701,8073418,586114,2066426,536700,1991902,93295,359281.0,349579.0,1340759.0,442874.0,1700040.0
AM,201702,8073418,589432,2073867,539218,1998146,93405,358851.0,351767.0,1347090.0,445172.0,1705941.0
AM,201703,8073418,593087,2082107,542061,2005206,93562,358651.0,354043.0,1353488.0,447605.0,1712139.0
AM,201704,8073418,598913,2094033,546517,2015096,94188,359515.0,357067.0,1360750.0,451255.0,1720265.0
AM,201705,8073418,604488,2106107,550922,2025411,94832,360715.0,359366.0,1365718.0,454198.0,1726433.0
AM,201706,8073418,609568,2116517,554738,2033864,95583,362489.0,359785.0,1363370.0,455368.0,1725859.0
AM,201707,8073418,614196,2126338,558033,2041709,96004,362875.0,361615.0,1367745.0,457619.0,1730620.0
AM,201708,8073418,619531,2137724,561776,2050756,97628,366868.0,361833.0,1367224.0,459461.0,1734092.0
AM,201709,8073418,569086,1985667,516418,1907348,86035,326277.0,343937.0,1312304.0,429972.0,1638581.0
AM,201710,8073418,578427,2005447,522620,1922993,86884,327890.0,347977.0,1323154.0,434861.0,1651044.0
AM,201711,8073418,586516,2021224,527269,1934217,87096,327942.0,351553.0,1332107.0,438649.0,1660049.0
AM,201712,8073418,599323,2042815,531839,1945252,87272,328336.0,353907.0,1337070.0,441179.0,1665406.0
AM,201801,8073418,609295,2059394,536582,1955618,87397,328529.0,355403.0,1337815.0,442800.0,1666344.0
AM,201802,8073418,616297,2072805,541259,1965746,87734,328794.0,358361.0,1343710.0,446095.0,1672504.0
AM,201803,8073418,599611,2017078,525068,1910662,82404,309157.0,352718.0,1322776.0,435122.0,1631933.0
AM,201804,8073418,610083,2038063,532607,1927617,83241,310544.0,358123.0,1335788.0,441364.0,1646332.0
AM,201805,8073418,621957,2062258,541215,1947322,84007,311740.0,364311.0,1351181.0,448318.0,1662921.0
AM,201806,8073418,630302,2078966,547360,1961000,84836,313799.0,367795.0,1357903.0,452631.0,1671702.0
AM,201807,8073418,634270,2085954,550299,1966463,85970,317459.0,371757.0,1369512.0,457727.0,1686971.0
